object_name,label_family,priority_rank,priority_bin,target_role,unresolved_reason,recommended_next_action
UGC07125,A/R mismatch,1,minimum_25_pool,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up,no_source_lead_or_search_error_in_pilot,Acquire same-object source-level measurement for UGC07125 / A/R mismatch; keep proxy/source leads out of Tier A until measurement and provenance are audited.
UGC07125,H I asymmetry,1,minimum_25_pool,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up,no_source_lead_or_search_error_in_pilot,Acquire same-object source-level measurement for UGC07125 / H I asymmetry; keep proxy/source leads out of Tier A until measurement and provenance are audited.
UGC07125,SFE/depletion,1,minimum_25_pool,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up,not_searched_in_bounded_pilot,Acquire same-object source-level measurement for UGC07125 / SFE/depletion; keep proxy/source leads out of Tier A until measurement and provenance are audited.
UGC07125,Vrot/sigma,1,minimum_25_pool,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up,not_searched_in_bounded_pilot,Acquire same-object source-level measurement for UGC07125 / Vrot/sigma; keep proxy/source leads out of Tier A until measurement and provenance are audited.
UGC07125,burstiness,1,minimum_25_pool,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up,not_searched_in_bounded_pilot,Acquire same-object source-level measurement for UGC07125 / burstiness; keep proxy/source leads out of Tier A until measurement and provenance are audited.
UGC07125,centroid offset,1,minimum_25_pool,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up,not_searched_in_bounded_pilot,Acquire same-object source-level measurement for UGC07125 / centroid offset; keep proxy/source leads out of Tier A until measurement and provenance are audited.
UGC07125,external morphology,1,minimum_25_pool,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up,not_searched_in_bounded_pilot,Acquire same-object source-level measurement for UGC07125 / external morphology; keep proxy/source leads out of Tier A until measurement and provenance are audited.
UGC07125,lopsidedness,1,minimum_25_pool,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up,not_searched_in_bounded_pilot,Acquire same-object source-level measurement for UGC07125 / lopsidedness; keep proxy/source leads out of Tier A until measurement and provenance are audited.
UGC07125,warp / PA twist,1,minimum_25_pool,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up,no_source_lead_or_search_error_in_pilot,Acquire same-object source-level measurement for UGC07125 / warp / PA twist; keep proxy/source leads out of Tier A until measurement and provenance are audited.
DDO064,A/R mismatch,2,minimum_25_pool,primary_non_mature_acquisition,no_source_lead_or_search_error_in_pilot,Acquire same-object source-level measurement for DDO064 / A/R mismatch; keep proxy/source leads out of Tier A until measurement and provenance are audited.
